"DATE_TIME","AIRTEMP","RH_AVG","DEWPT","WS","GHI","DNI","DIFF","POA"
"2023-06-01 05:50:00",12.12,92.2,10.91,0.09,9,0,9,12
"2023-06-01 06:00:00",11.89,92,10.64,0.198,13,0,13,16.42
"2023-06-01 06:10:00",11.71,92,10.46,0.389,17.7,0,17.7,21
"2023-06-01 06:20:00",11.59,92,10.36,0.324,22,0,22,26
"2023-06-01 06:30:00",11.63,91.9,10.37,0.06,26.8,0,26.8,31
"2023-06-01 06:40:00",11.9,91.8,10.63,0.18,30.5,0,30.5,35
"2023-06-01 06:50:00",12.24,91.3,10.87,0.088,34,0,34,38.67
"2023-06-01 07:00:00",12.42,90.4,10.9,0.016,38,0,38,43
"2023-06-01 07:10:00",12.62,89.5,10.95,0.016,42,0,42,48
"2023-06-01 07:20:00",12.94,89.3,11.23,0.019,46,0,46,52.92
"2023-06-01 07:30:00",13.37,88.1,11.44,0.262,51,0,51,58.83
"2023-06-01 07:40:00",13.69,87.2,11.6,0.001,54,0,54,62
"2023-06-01 07:50:00",14.15,86.3,11.91,0.102,57,0,57,65
"2023-06-01 08:00:00",14.84,84.5,12.26,0.227,58,0,58,67
"2023-06-01 08:10:00",15.41,82.8,12.52,0.114,59,0,59,67
"2023-06-01 08:20:00",15.98,81.2,12.78,0.04,59,0,59,66.42
"2023-06-01 08:30:00",16.75,77.89,12.88,0.269,60,0,60,67
"2023-06-01 08:40:00",17.38,75.49,13.02,0.891,61,0,61,67
"2023-06-01 08:50:00",17.7,74.71,13.17,0.91,63,0,63,69
"2023-06-01 09:00:00",18.13,73.14,13.26,0.791,65,0,65,71
"2023-06-01 09:10:00",18.6,71.88,13.45,0.586,68.4,0,68.4,80
"2023-06-01 09:20:00",19.07,69.73,13.42,0.75,72.2,0,72.2,333.1
"2023-06-01 09:30:00",19.49,66.32,13.06,0.47,76,0,76,375
"2023-06-01 09:40:00",20.55,63.31,13.35,0.763,313.8,333.5,79,417.1
"2023-06-01 09:50:00",21.44,57.68,12.75,0.813,688.3,837.1,80.2,458.2
"2023-06-01 10:00:00",21.97,52.4,11.8,0.501,717.3,850.1,81,498.3
"2023-06-01 10:10:00",22.55,52.94,12.49,0.642,746.6,863.7,82,538.1
"2023-06-01 10:20:00",23.2,51.68,12.72,1.054,767.1,866.1,83.4,573.3
"2023-06-01 10:30:00",23.5,49.01,12.19,0.899,788.7,869.4,86,608.2
"2023-06-01 10:40:00",24.16,46.31,11.93,0.788,808.3,870.7,89,640.9
"2023-06-01 10:50:00",24.78,45.05,12.08,0.81,828.4,874.8,91,676.4
"2023-06-01 11:00:00",24.53,45.4,11.97,0.625,843.3,871.5,95,705.7
"2023-06-01 11:10:00",25.12,43.68,11.91,1.14,862.6,876.9,97,737.3
"2023-06-01 11:20:00",25.74,42.16,11.94,0.5,874.5,873.4,100.4,765
"2023-06-01 11:30:00",26.24,40.79,11.89,0.827,891.1,876.2,104,795.1
"2023-06-01 11:40:00",26.66,39.62,11.82,1.203,904.5,876,108.1,821
"2023-06-01 11:50:00",27,38.82,11.82,0.547,919.1,876.2,114.2,846
"2023-06-01 12:00:00",27.44,38.56,12.1,0.695,935.6,881.1,119,870
"2023-06-01 12:10:00",28.21,36.27,11.85,0.489,948.3,881.6,125,892
"2023-06-01 12:20:00",28.68,34.98,11.72,0.828,953.2,871.7,134.2,908
"2023-06-01 12:30:00",28.12,35.75,11.56,0.669,960.9,866.1,143.5,926
"2023-06-01 12:40:00",28.93,34.96,11.93,0.772,968.9,862,152.8,941
"2023-06-01 12:50:00",29.48,34.26,12.12,1.112,971.2,854.2,161.1,953
"2023-06-01 13:00:00",29.42,34.13,11.99,1.305,981.9,857.2,168.7,968
"2023-06-01 13:10:00",30.26,32.93,12.19,0.695,984.1,852.4,176.4,977
"2023-06-01 13:20:00",30.97,31.36,12.06,0.687,989.4,853.5,182.7,987
"2023-06-01 13:30:00",30.64,31.88,12.04,0.943,983,843.3,189,988
"2023-06-01 13:40:00",30.68,32.05,12.14,0.797,992.5,852.8,193.8,999
"2023-06-01 13:50:00",30.58,32.07,12.07,0.517,977.6,837.8,198.3,1000
"2023-06-01 14:00:00",32.23,29.77,12.35,0.385,981.5,846.1,201,1001
"2023-06-01 14:10:00",32.09,28.79,11.73,1.153,986.7,861.8,199.4,1021
"2023-06-01 14:20:00",30.89,29.68,11.17,0.94,958.9,833.2,206.3,995
"2023-06-01 14:30:00",31.89,30.27,12.31,0.975,954.2,829.7,214.2,995
"2023-06-01 14:40:00",31.88,29.83,12.08,0.922,950.5,841.9,210.3,995
"2023-06-01 14:50:00",32.35,27.92,11.49,0.961,943.2,845.8,211.5,997
"2023-06-01 15:00:00",32.51,27.54,11.41,0.437,905,815,212.1,966
"2023-06-01 15:10:00",33.07,26.3,11.2,1.264,866.4,785.2,211.7,926
"2023-06-01 15:20:00",32.12,27.14,10.87,1.718,868,797.5,216.8,924
"2023-06-01 15:30:00",32.21,27.52,11.15,1.464,853.8,800.4,215,914
"2023-06-01 15:40:00",32.15,26.29,10.41,1.207,826.8,788.3,213,891
"2023-06-01 15:50:00",32.05,26.45,10.42,1.148,790.6,768,208.4,863
"2023-06-01 16:00:00",31.9,27.16,10.69,2.379,761,754.2,205.6,837
"2023-06-01 16:10:00",31.73,27.57,10.77,2.272,729.1,739.5,201,816
"2023-06-01 16:20:00",31.98,28.83,11.66,2.042,706,733.9,199,786.9
"2023-06-01 16:30:00",31.87,28.94,11.63,2.45,667,706.3,196.1,747.3
"2023-06-01 16:40:00",31.5,29.44,11.56,2.404,637.9,695,192,716.9
"2023-06-01 16:50:00",31.19,29.64,11.4,2.699,598,668.8,186.1,677.7
"2023-06-01 17:00:00",30.89,30.04,11.34,1.966,566.2,656.6,179.1,641.5
"2023-06-01 17:10:00",31.16,30.24,11.67,1.657,535.2,652.9,168,613.3
"2023-06-01 17:20:00",30.87,30.27,11.44,2.285,598.9,655.4,248.4,586.3
"2023-06-01 17:30:00",30.79,30.98,11.73,1.764,560.6,653,229.8,550.7
"2023-06-01 17:40:00",30.62,31.7,11.92,1.818,434.5,641.4,128,513.4
"2023-06-01 17:50:00",30.76,32.12,12.24,1.586,399.5,632.2,115.8,478.8
"2023-06-01 18:00:00",30.33,33.22,12.39,1.903,364,613.5,106.8,435.9
"2023-06-01 18:10:00",30.05,34.39,12.67,1.788,330.8,599.8,97.3,400.3
"2023-06-01 18:20:00",29.94,34.49,12.61,2.345,296.2,576.8,89,360.1
"2023-06-01 18:30:00",29.9,35.13,12.87,0.97,260.8,546.9,81,315.1
"2023-06-01 18:40:00",29.82,35.26,12.85,1.149,226.1,513.9,72.7,60.33
"2023-06-01 18:50:00",29.25,38.94,13.88,2.106,190.8,469.6,65,54
"2023-06-01 19:00:00",28.8,39.85,13.82,2.136,57.5,0,57.5,49.08
"2023-06-01 19:10:00",28.48,40.29,13.7,1.933,50,0,50,44.5
"2023-06-01 19:20:00",28.28,40.8,13.72,1.794,42,0,42,39
"2023-06-01 19:30:00",28.08,41.27,13.71,1.561,34,0,34,32.58
"2023-06-01 19:40:00",27.74,42.42,13.84,1.964,26,0,26,26.17
"2023-06-01 19:50:00",27.42,43.18,13.82,1.737,19.4,0,19.4,20.17
"2023-06-01 20:00:00",27.1,44.08,13.85,1.569,13.3,0,13.3,14.92
"2023-06-01 20:10:00",26.77,44.66,13.75,1.478,8,0,8,9.42
"2023-06-01 20:20:00",26.43,45.65,13.78,1.189,3,0,3,4.5
"2023-06-01 20:30:00",26.09,46.27,13.68,1.174,1,0,1,2
"2023-06-01 20:40:00",25.84,46.83,13.64,1.045,0,0,0,0
"2023-06-01 20:50:00",25.59,46.73,13.38,1.223,0,0,0,0
"2023-06-01 21:00:00",25.3,47,13.2,0.936,0,0,0,0
"2023-06-01 21:10:00",24.85,48.13,13.16,1.162,0,0,0,0
"2023-06-01 21:20:00",24.38,49.66,13.21,1.142,0,0,0,0
"2023-06-01 21:30:00",24.02,50.24,13.05,1.117,0,0,0,0
"2023-06-01 21:40:00",23.71,50.99,13,1.123,0,0,0,0
"2023-06-01 21:50:00",23.35,52.04,12.98,1.321,0,0,0,0
"2023-06-01 22:00:00",23.14,52.41,12.89,0.95,0,0,0,0
"2023-06-01 22:10:00",23.05,51.6,12.56,0.98,0,0,0,0
"2023-06-01 22:20:00",22.95,50.82,12.25,1.013,0,0,0,0
"2023-06-01 22:30:00",22.62,52.37,12.4,1.175,0,0,0,0
"2023-06-01 22:40:00",22.24,53.92,12.49,1.237,0,0,0,0
"2023-06-01 22:50:00",21.85,54.71,12.35,0.983,0,0,0,0
"2023-06-01 23:00:00",21.41,56.49,12.43,0.221,0,0,0,0
"2023-06-01 23:10:00",20.88,58.47,12.45,0.153,0,0,0,0
"2023-06-01 23:20:00",20.58,59.97,12.56,0,0,0,0,0
"2023-06-01 23:30:00",20.32,60.76,12.52,0,0,0,0,0
"2023-06-01 23:40:00",20.08,62.28,12.66,0,0,0,0,0
"2023-06-01 23:50:00",19.79,63.2,12.6,0.037,0,0,0,0
"2023-06-02 00:00:00",20.17,59.56,12.06,0.375,0,0,0,0
"2023-06-02 00:10:00",20.51,58.16,12.02,0.568,0,0,0,0
"2023-06-02 00:20:00",20.4,59.04,12.15,0.276,0,0,0,0
"2023-06-02 00:30:00",19.98,61.26,12.32,0,0,0,0,0
"2023-06-02 00:40:00",19.4,63.52,12.33,0.07,0,0,0,0
"2023-06-02 00:50:00",19.18,64.57,12.36,0,0,0,0,0
"2023-06-02 01:00:00",18.77,66.83,12.5,0,0,0,0,0
"2023-06-02 01:10:00",18.36,68.62,12.5,0,0,0,0,0
"2023-06-02 01:20:00",18.13,69.6,12.5,0,0,0,0,0
"2023-06-02 01:30:00",17.93,70.37,12.48,0.079,0,0,0,0
"2023-06-02 01:40:00",17.98,69.65,12.37,0.686,0,0,0,0
"2023-06-02 01:50:00",17.99,70,12.46,0.413,0,0,0,0
"2023-06-02 02:00:00",18.43,66.76,12.15,0.287,0,0,0,0
"2023-06-02 02:10:00",18.6,66.36,12.22,0.31,0,0,0,0
"2023-06-02 02:20:00",18.51,66.69,12.22,0.26,0,0,0,0
"2023-06-02 02:30:00",18.33,66.22,11.93,0.443,0,0,0,0
"2023-06-02 02:40:00",18.11,66.89,11.89,0.615,0,0,0,0
"2023-06-02 02:50:00",17.8,67.49,11.72,0.388,0,0,0,0
"2023-06-02 03:00:00",17.43,68.52,11.6,0.309,0,0,0,0
"2023-06-02 03:10:00",17.3,68.81,11.53,0.215,0,0,0,0
"2023-06-02 03:20:00",17.32,69.65,11.74,0.469,0,0,0,0
"2023-06-02 03:30:00",17.28,69.5,11.67,0.09,0,0,0,0
"2023-06-02 03:40:00",16.9,70.86,11.6,0.104,0,0,0,0
"2023-06-02 03:50:00",16.51,73.48,11.77,0.509,0,0,0,0
"2023-06-02 04:00:00",16.23,76.3,12.07,0.343,0,0,0,0
"2023-06-02 04:10:00",15.98,76.88,11.95,0.436,0,0,0,0
"2023-06-02 04:20:00",15.92,78.86,12.27,0.235,0,0,0,0
"2023-06-02 04:30:00",15.99,79.47,12.46,0.227,0,0,0,0
"2023-06-02 04:40:00",15.94,79.78,12.47,0.194,0,0,0,0
"2023-06-02 04:50:00",15.92,80.5,12.57,0.248,0,0,0,0
"2023-06-02 05:00:00",15.73,81,12.5,0.514,0,0,0,0
"2023-06-02 05:10:00",15.62,81.7,12.51,0.294,0,0,0,0
"2023-06-02 05:20:00",15.61,81.4,12.45,0.44,0,0,0,1
"2023-06-02 05:30:00",15.56,80.8,12.29,0.431,2,0,2,3.167
"2023-06-02 05:40:00",15.5,80.4,12.16,0.46,5,0,5,7.333
"2023-06-02 05:50:00",15.6,79.51,12.08,0.507,10,0,10,12.58
"2023-06-02 06:00:00",15.93,78.03,12.12,0.606,14.4,0,14.4,18
"2023-06-02 06:10:00",16.14,77.31,12.17,0.281,19,0,19,23
"2023-06-02 06:20:00",16.41,76.39,12.26,0.405,23.5,0,23.5,27.92
"2023-06-02 06:30:00",16.65,75.88,12.39,0.332,27.3,0,27.3,32
"2023-06-02 06:40:00",16.96,74.29,12.36,0.494,31,0,31,35
"2023-06-02 06:50:00",17.27,72.41,12.28,0.497,35,0,35,39
"2023-06-02 07:00:00",17.54,71.66,12.38,0.556,38,0,38,42
"2023-06-02 07:10:00",17.81,71.6,12.62,0.547,40.9,0,40.9,46
"2023-06-02 07:20:00",18.04,70.91,12.7,0.349,43.8,0,43.8,49
"2023-06-02 07:30:00",18.41,69.73,12.79,0.282,47,0,47,53
"2023-06-02 07:40:00",19.02,67.73,12.93,0.642,50,0,50,56.58
"2023-06-02 07:50:00",19.56,65.42,12.92,0.819,53,0,53,59
"2023-06-02 08:00:00",20.08,63.66,12.99,0.701,55.8,0,55.8,62
"2023-06-02 08:10:00",20.55,62.84,13.24,0.395,58.1,0,58.1,64.17
"2023-06-02 08:20:00",21.09,60.76,13.23,0.57,61,0,61,67
"2023-06-02 08:30:00",21.56,59.07,13.24,0.381,64,0,64,69.5
"2023-06-02 08:40:00",22.04,58.22,13.47,0.238,67,0,67,72
"2023-06-02 08:50:00",22.46,57.18,13.59,0.19,70,0,70,74
"2023-06-02 09:00:00",22.94,55.34,13.53,0.046,72.8,0,72.8,77
"2023-06-02 09:10:00",23.49,53.76,13.6,0.281,75.6,0,75.6,85.7
"2023-06-02 09:20:00",24.15,52.43,13.82,0.345,78,0,78,325.6
"2023-06-02 09:30:00",24.99,50.34,13.97,0.26,82,0,82,365.2
"2023-06-02 09:40:00",25.84,48.42,14.14,0.378,224.4,196.4,86,402.8
"2023-06-02 09:50:00",26.46,46.18,13.98,0.722,647.4,764.7,91.3,440.5
"2023-06-02 10:00:00",27.08,44.68,14.04,0.601,673.7,771.2,96,477.9
"2023-06-02 10:10:00",27.93,43.03,14.22,0.315,695.9,772.5,101,514.3
"2023-06-02 10:20:00",28.41,42.58,14.5,0.299,720.9,779.7,105,550.3
"2023-06-02 10:30:00",28.85,41.92,14.65,0.851,744,786.3,108,583.8
"2023-06-02 10:40:00",28.88,42.17,14.76,0.5,762.2,785.2,113,616.2
"2023-06-02 10:50:00",29.85,39.46,14.6,0.37,784.3,791.1,117,650.9
"2023-06-02 11:00:00",30.52,38.01,14.62,0.371,799,788.4,121.7,680.1
"2023-06-02 11:10:00",31.03,36.26,14.33,0.56,821.9,799,123.9,712.7
"2023-06-02 11:20:00",31.45,34.66,14.01,0.165,836.4,798.8,128,740.5
"2023-06-02 11:30:00",32.08,33.18,13.88,0.219,851.2,800.1,132,768.1
"2023-06-02 11:40:00",31.81,33.58,13.84,0.744,863.6,797.1,138.4,792.3
"2023-06-02 11:50:00",31.85,33.83,13.98,0.529,876.2,797.6,143,817
"2023-06-02 12:00:00",32.63,32.92,14.24,0.545,896,808.5,146.2,843
"2023-06-02 12:10:00",33.02,31.48,13.9,0.596,904.9,804.3,153.3,861
"2023-06-02 12:20:00",33.12,32.03,14.25,0.539,920.5,810.4,158.6,885
"2023-06-02 12:30:00",33.62,31.16,14.25,0.514,934.5,816.9,163,906
"2023-06-02 12:40:00",33.57,31.33,14.3,0.93,940.8,813,170.6,920
"2023-06-02 12:50:00",33.8,31.19,14.42,0.5,950.6,813.8,178.2,940
"2023-06-02 13:00:00",34.62,29.33,14.18,0.589,949.9,799.5,190.8,950
"2023-06-02 13:10:00",34.44,29.98,14.37,0.679,958.8,796.3,203.6,962
"2023-06-02 13:20:00",34.76,29.97,14.64,0.755,968.5,787.4,223.6,988
"2023-06-02 13:30:00",35.13,29.81,14.87,0.923,977,782.9,239.3,1001
"2023-06-02 13:40:00",35.18,30.96,15.5,2.008,988.4,780,257.4,1018
"2023-06-02 13:50:00",34.38,32.4,15.53,2.437,968.1,767.1,254,1005
"2023-06-02 14:00:00",34.57,32.15,15.56,0.753,946.7,737.3,265.9,958
"2023-06-02 14:10:00",34.52,31.99,15.44,1.268,939.3,758.8,245.5,979
"2023-06-02 14:20:00",34.53,32.22,15.56,1.921,933.6,765.6,241.3,978
"2023-06-02 14:30:00",34.14,33.04,15.61,1.583,920,760.6,241,966
"2023-06-02 14:40:00",34.22,32.66,15.5,2.429,904.3,758.1,237.1,957
"2023-06-02 14:50:00",34.1,32.81,15.46,1.473,889.9,758.5,232.9,945
"2023-06-02 15:00:00",34.34,32.48,15.52,1.697,876,756.9,231.7,934
"2023-06-02 15:10:00",34.34,32.4,15.49,1.092,862.5,758.7,229,924
"2023-06-02 15:20:00",34.64,31.95,15.52,1.543,835.5,741.8,229,901
"2023-06-02 15:30:00",34.21,32.4,15.37,2.566,805.4,721.3,228.9,873
"2023-06-02 15:40:00",34.15,32.72,15.47,1.659,793,728.9,224.6,863
"2023-06-02 15:50:00",34.45,32.69,15.72,2.071,771.3,726.3,219.8,845
"2023-06-02 16:00:00",34.3,32.88,15.67,2.257,746,721,214.1,819
"2023-06-02 16:10:00",34.37,32.7,15.65,1.524,716.6,709.5,209,794.3
"2023-06-02 16:20:00",34.58,31.96,15.48,1.666,686.7,698.8,203,764.7
"2023-06-02 16:30:00",34.4,32.73,15.7,1.589,649,673.7,199,727.4
"2023-06-02 16:40:00",34.48,32.75,15.77,1.468,616.1,653,196.2,691.3
"2023-06-02 16:50:00",34.25,32.29,15.36,2.08,593.3,656.5,188,672.3
"2023-06-02 17:00:00",33.88,33.01,15.38,1.916,558.5,642.9,178.5,635.5
"2023-06-02 17:10:00",34.02,33.27,15.62,1.267,518.5,613.4,172.6,589.2
"2023-06-02 17:20:00",33.88,33.09,15.41,0.576,537.4,545.2,245,524.8
"2023-06-02 17:30:00",33.97,32.5,15.21,0.816,505.4,556.1,222.9,512.9
"2023-06-02 17:40:00",34,33.04,15.5,1.379,415.5,559.4,147.3,496.5
"2023-06-02 17:50:00",33.49,34.53,15.75,2.125,238.7,282.1,111.7,265.7
"2023-06-02 18:00:00",33.09,36.31,16.17,0.712,296,408.2,124.2,355.4
"2023-06-02 18:10:00",33.1,36.75,16.37,0.848,133.5,2.8,132.4,131
"2023-06-02 18:20:00",32.56,37.35,16.16,0.741,109.4,2.4,108.5,172.2
"2023-06-02 18:30:00",32.24,38,16.15,0.52,140.8,81.5,113.8,131.8
"2023-06-02 18:40:00",30.98,38.28,15.13,0.473,112.2,15.2,107.7,120.6
"2023-06-02 18:50:00",30.02,38.78,14.48,0.506,109.9,81.2,88,102.8
"2023-06-02 19:00:00",29.66,40.23,14.74,0.351,69.4,-0.8,69.5,87.9
"2023-06-02 19:10:00",28.47,47.44,16.25,0.547,53,0,53,69
"2023-06-02 19:20:00",27.98,46.95,15.62,0.505,56.9,0,56.9,68.5
"2023-06-02 19:30:00",27.85,47.34,15.64,0.296,52.2,0,52.2,61
"2023-06-02 19:40:00",27.67,48.51,15.85,0.37,48.8,0,48.8,52.67
"2023-06-02 19:50:00",27.39,48.56,15.62,0.344,36.9,0,36.9,39.83
"2023-06-02 20:00:00",27.34,48.88,15.67,0.088,22.1,0,22.1,24.67
"2023-06-02 20:10:00",27.29,49.21,15.73,0.385,13.7,0,13.7,16.67
"2023-06-02 20:20:00",27.33,48.83,15.64,0.759,2.1,0,2.1,3
"2023-06-02 20:30:00",27.25,48.89,15.59,1.143,0,0,0,1
"2023-06-02 20:40:00",26.59,51.67,15.86,1.591,0,0,0,0
"2023-06-02 20:50:00",25.55,52.17,15.04,1.264,0,0,0,0
"2023-06-02 21:00:00",25.04,50.64,14.11,1.514,0,0,0,0
"2023-06-02 21:10:00",24.8,49.73,13.61,0.571,0,0,0,0
"2023-06-02 21:20:00",24.9,47.94,13.13,0.253,0,0,0,0
"2023-06-02 21:30:00",24.99,47.61,13.11,0.176,0,0,0,0
"2023-06-02 21:40:00",24.98,47.77,13.16,0.226,0,0,0,0
"2023-06-02 21:50:00",25.03,48.42,13.41,0.88,0,0,0,0
"2023-06-02 22:00:00",24.87,48.35,13.24,0.563,0,0,0,0
"2023-06-02 22:10:00",24.63,49.68,13.45,0.858,0,0,0,0
"2023-06-02 22:20:00",24.24,51.31,13.58,0.333,0,0,0,0
"2023-06-02 22:30:00",24.16,51.68,13.62,0.076,0,0,0,0
"2023-06-02 22:40:00",24.08,52.96,13.92,0.007,0,0,0,0
"2023-06-02 22:50:00",24.04,54.52,14.33,0.05,0,0,0,0
"2023-06-02 23:00:00",23.87,55.01,14.31,0,0,0,0,0
"2023-06-02 23:10:00",23.57,55.29,14.11,0,0,0,0,0
"2023-06-02 23:20:00",23.3,55.45,13.9,0,0,0,0,0
"2023-06-02 23:30:00",23.17,55.51,13.8,0.011,0,0,0,0
"2023-06-02 23:40:00",23.05,55.98,13.81,0.013,0,0,0,0
"2023-06-02 23:50:00",22.97,57.16,14.06,0.046,0,0,0,0
"2023-06-03 00:00:00",22.75,58.79,14.29,0.16,0,0,0,0
"2023-06-03 00:10:00",22.66,58.67,14.17,0.009,0,0,0,0
"2023-06-03 00:20:00",22.61,57.79,13.89,0.016,0,0,0,0
"2023-06-03 00:30:00",22.58,57.81,13.87,0.031,0,0,0,0
"2023-06-03 00:40:00",22.4,57.78,13.69,0.676,0,0,0,0
"2023-06-03 00:50:00",22.39,57.04,13.49,1.198,0,0,0,0
"2023-06-03 01:00:00",22.22,59.27,13.92,0.605,0,0,0,0
"2023-06-03 01:10:00",22.06,61.82,14.42,0.209,0,0,0,0
"2023-06-03 01:20:00",21.85,62.98,14.51,0,0,0,0,0
"2023-06-03 01:30:00",21.47,63.67,14.31,0.033,0,0,0,0
"2023-06-03 01:40:00",21.12,64.14,14.1,0.318,0,0,0,0
"2023-06-03 01:50:00",20.96,68.49,14.96,0.855,0,0,0,0
"2023-06-03 02:00:00",20.78,70.78,15.3,0.134,0,0,0,0
"2023-06-03 02:10:00",20.58,71.86,15.35,0.38,0,0,0,0
"2023-06-03 02:20:00",20.41,74.18,15.68,0.038,0,0,0,0
"2023-06-03 02:30:00",20.31,74.61,15.67,0.159,0,0,0,0
"2023-06-03 02:40:00",20.22,74.28,15.51,0.054,0,0,0,0
"2023-06-03 02:50:00",20.06,72.32,14.94,0.232,0,0,0,0
"2023-06-03 03:00:00",20.01,71.73,14.77,0.55,0,0,0,0
"2023-06-03 03:10:00",19.95,73.06,15,0.142,0,0,0,0
"2023-06-03 03:20:00",19.78,75.73,15.4,0.168,0,0,0,0
"2023-06-03 03:30:00",19.61,77.95,15.68,0.283,0,0,0,0
"2023-06-03 03:40:00",19.46,79.36,15.81,0.179,0,0,0,0
"2023-06-03 03:50:00",19.28,80.7,15.91,0.074,0,0,0,0
"2023-06-03 04:00:00",19.05,81.9,15.91,0.351,0,0,0,0
"2023-06-03 04:10:00",18.92,82.9,15.97,0.012,0,0,0,0
"2023-06-03 04:20:00",18.82,83.4,15.97,0.051,0,0,0,0
"2023-06-03 04:30:00",18.66,84,15.93,0.013,0,0,0,0
"2023-06-03 04:40:00",18.54,84.7,15.94,0.007,0,0,0,0
"2023-06-03 04:50:00",18.39,85.4,15.92,0,0,0,0,0
"2023-06-03 05:00:00",18.25,86.1,15.9,0.005,0,0,0,0
"2023-06-03 05:10:00",18.18,86.6,15.92,0.179,0,0,0,0
"2023-06-03 05:20:00",18.07,87,15.88,0.365,0,0,0,1
"2023-06-03 05:30:00",17.94,87.4,15.83,0.17,2,0,2,4
"2023-06-03 05:40:00",17.84,87.9,15.82,0.045,5,0,5,7
"2023-06-03 05:50:00",17.82,88.3,15.88,0.037,10.4,0,10.4,12.92
"2023-06-03 06:00:00",17.82,88.7,15.95,0.051,17,0,17,19.58
"2023-06-03 06:10:00",17.94,88.7,16.06,0.027,24.5,0,24.5,26
"2023-06-03 06:20:00",18.05,88.2,16.09,0.084,22,0,22,23.5
"2023-06-03 06:30:00",18.1,87.8,16.06,0.095,24,0,24,24
"2023-06-03 06:40:00",18.21,87,16.02,0.071,27,0,27,26
"2023-06-03 06:50:00",18.46,85.9,16.07,0.122,32.8,0,32.8,31.83
"2023-06-03 07:00:00",18.8,84.5,16.15,0.37,39.6,0,39.6,44.17
"2023-06-03 07:10:00",19.16,82.9,16.19,0.3,43.1,0,43.1,47.08
"2023-06-03 07:20:00",19.5,81.2,16.2,0.625,51.8,0,51.8,57.67
"2023-06-03 07:30:00",19.89,78.53,16.06,0.645,64.7,0,64.7,71.17
"2023-06-03 07:40:00",20.14,76.52,15.89,0.591,76.4,0,76.4,86.8
"2023-06-03 07:50:00",20.35,75.94,15.98,0.722,88.7,0,88.7,101.2
"2023-06-03 08:00:00",20.52,75.56,16.07,0.655,109.5,0,109.5,127.9
"2023-06-03 08:10:00",20.81,74.52,16.13,0.706,155.4,0,155.4,164
"2023-06-03 08:20:00",21.14,73.74,16.28,0.493,149.7,0,149.7,158.5
"2023-06-03 08:30:00",21.33,73.3,16.38,0.499,144.2,0,144.2,143.7
"2023-06-03 08:40:00",21.25,73.93,16.43,0.523,122.8,0,122.8,136.6
"2023-06-03 08:50:00",21.18,74.43,16.47,0.651,188.6,0,188.6,198.2
"2023-06-03 09:00:00",21.44,73.41,16.5,0.619,166.5,0,166.5,160.2
